Change Indicator,2022 NAICS Code,2022 NAICS Title
,51,InformationT
,518,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related ServicesT"
**,5182,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related ServicesT"
**,51821,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related ServicesT"
**,518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services"
,54,"Professional, Scientific, and Technical ServicesT"
,541,"Professional, Scientific, and Technical ServicesT"
,5415,Computer Systems Design and Related ServicesT
,54151,Computer Systems Design and Related ServicesT
,541511,Custom Computer Programming Services
